"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","IsInTree"
"92","macrostomum tuba","Macrostomum tuba",FALSE,490206,FALSE,"",1,TRUE
"93","methanosarcina mazei","Methanosarcina mazei",FALSE,993194,FALSE,"",1,TRUE
"95","monoclea forsteri","Monoclea forsteri",FALSE,54768,FALSE,"",1,TRUE
"96","morone saxatilis","Morone saxatilis",FALSE,223669,FALSE,"",1,TRUE
"97","mus musculus","Mus musculus",FALSE,542509,FALSE,"",1,TRUE
"98","myxococcus fulvus","Myxococcus fulvus",FALSE,939432,FALSE,"",1,TRUE
"99","myxococcus xanthus","Myxococcus xanthus",FALSE,939454,FALSE,"sibling_higher",1,TRUE
"100","nais variabilis","Nais variabilis",FALSE,549846,FALSE,"",1,TRUE
"101","neomenia carinata","Neomenia carinata",FALSE,2849837,FALSE,"",1,TRUE
"104","craspedacusta sowerbii","Craspedacusta sowerbii",FALSE,127047,FALSE,"",1,TRUE
"105","valvognathia pogonostoma","Valvognathia pogonostoma",FALSE,987480,FALSE,"",1,TRUE
"106","helminthostachys zeylanica","Helminthostachys zeylanica",FALSE,178177,FALSE,"",1,TRUE
"107","cheiroglossa palmata","Cheiroglossa palmata",FALSE,733462,FALSE,"",1,TRUE
"108","selenipedium palmifolium","Selenipedium palmifolium",FALSE,3974169,FALSE,"",1,TRUE
"109","arthrospira","Arthrospira",FALSE,231664,FALSE,"sibling_higher",1,TRUE
"111","symploca","Symploca",FALSE,875816,FALSE,"sibling_higher",1,TRUE
"112","oscillatoria sancta","Oscillatoria sancta (species in domain Bacteria)",FALSE,602180,FALSE,"sibling_higher",2,TRUE
"114","symphyogyna brongniartii","Symphyogyna brongniartii",FALSE,108923,FALSE,"",1,TRUE
"115","pedicellina cernua","Pedicellina cernua",FALSE,362913,FALSE,"",1,TRUE
"116","petermannia cirrosa","Petermannia cirrosa",FALSE,643237,FALSE,"",1,TRUE
"117","trichodesmium erythraeum","Trichodesmium erythraeum",FALSE,197000,FALSE,"",1,TRUE
"118","physarum polycephalum","Physarum polycephalum",FALSE,422679,FALSE,"sibling_higher",1,TRUE
"119","pinus monophylla","Pinus monophylla",FALSE,225275,FALSE,"",1,TRUE
"120","pleurobrachia ","Pleurobrachia",TRUE,742128,FALSE,"",6,TRUE
"121","chondromyces crocatus","Chondromyces crocatus",FALSE,424530,FALSE,"sibling_higher",1,TRUE
"122","pogonatum neesii","Pogonatum neesii",FALSE,263960,FALSE,"sibling_higher",1,TRUE
"123","polytrichum commune","Polytrichum commune",FALSE,821356,FALSE,"",1,TRUE
"124","callinectes sapidus","Callinectes sapidus",FALSE,182906,FALSE,"",1,TRUE
"125","enterostomula graffi","Enterostomula graffi",FALSE,3665433,FALSE,"",1,TRUE
"126","pycnophyes frequens","Pycnophyes frequens",FALSE,3583594,FALSE,"",1,TRUE
"127","ralfsia verrucosa","Ralfsia verrucosa",FALSE,275893,FALSE,"",1,TRUE
"128","raperostelium minutum","Raperostelium minutum",FALSE,962359,FALSE,"",1,TRUE
"129","rastrognathia macrostoma","Rastrognathia macrostoma",FALSE,675301,FALSE,"",1,TRUE
"130","caenorhabditis elegans","Caenorhabditis elegans",FALSE,395048,FALSE,"",1,TRUE
"131","rhabditis monhystera","Rhabditis monhystera",FALSE,3587677,FALSE,"sibling_higher",1,TRUE
"132","botryocladia wynnei","Botryocladia wynnei",FALSE,724784,FALSE,"",1,TRUE
"133","rhopalura granosa","Rhopalura granosa",FALSE,3684291,FALSE,"",1,TRUE
"135","rivularia","Rivularia (genus in domain Bacteria)",FALSE,737026,FALSE,"sibling_higher",3,TRUE
"136","saccharomyces cerevisiae","Saccharomyces cerevisiae",FALSE,356221,FALSE,"",1,TRUE
"137","oncorhynchus mykiss","Oncorhynchus mykiss (species in domain Eukaryota)",FALSE,165368,FALSE,"",2,TRUE
"138","salpingoeca rosetta","Salpingoeca rosetta",FALSE,1002450,FALSE,"",1,TRUE
"139","schizosaccharomyces pombe","Schizosaccharomyces pombe",FALSE,990004,FALSE,"",1,TRUE
"140","scytonema","Scytonema (genus in domain Bacteria)",FALSE,197002,FALSE,"sibling_higher",2,TRUE
"141","scytosiphon lomentaria","Scytosiphon lomentaria (species in subkingdom SAR)",FALSE,263980,FALSE,"",2,TRUE
"142","colpomenia sinuosa","Colpomenia sinuosa",FALSE,849781,FALSE,"",1,TRUE
"143","heteroralfsia saxicola","Heteroralfsia saxicola",FALSE,275897,FALSE,"",1,TRUE
"144","spirobranchus triqueter","Spirobranchus triqueter",FALSE,7489702,FALSE,"",1,TRUE
"145","pisione remota","Pisione remota",FALSE,518643,FALSE,"",1,TRUE
"146","sarconema scinaioides","Sarconema scinaioides",FALSE,4013437,FALSE,"",1,TRUE
"147","sorogena stoianovitchae","Sorogena stoianovitchae",FALSE,486834,FALSE,"",1,TRUE
"148","sphacelaria cirrosa","Sphacelaria cirrosa (species in subkingdom SAR)",FALSE,237608,FALSE,"sibling_higher",2,TRUE
"149","sphagnum recurvum","Sphagnum recurvum",FALSE,592355,FALSE,"",1,TRUE
"150","spongilla lacustris","Spongilla lacustris",FALSE,588761,FALSE,"",1,TRUE
"151","carpomitra costata","Carpomitra costata",FALSE,817791,FALSE,"",1,TRUE
"152","croomia pauciflora","Croomia pauciflora",FALSE,840001,FALSE,"",1,TRUE
"154","streptomyces antibioticus","Streptomyces antibioticus",FALSE,249878,FALSE,"sibling_higher",1,TRUE
"155","streptomyces albidoflavus","Streptomyces albidoflavus",FALSE,772836,FALSE,"sibling_higher",1,TRUE
"156","streptomyces griseus","Streptomyces griseus",FALSE,623861,FALSE,"sibling_higher",1,TRUE
"157","hummia onusta","Hummia onusta",FALSE,83430,FALSE,"",1,TRUE
"158","syringoderma phinneyi","Syringoderma phinneyi",FALSE,736728,FALSE,"",1,TRUE
"159","basichlamys sacculifera","Basichlamys sacculifera",FALSE,60471,FALSE,"",1,TRUE
"160","tetrabaena socialis","Tetrabaena socialis",FALSE,381979,FALSE,"",1,TRUE
"161","haplospora globosa","Haplospora globosa",FALSE,649193,FALSE,"",1,TRUE
"162","trichoplax adhaerens","Trichoplax adhaerens",FALSE,570365,FALSE,"",1,TRUE
"163","turbanella cornuta","Turbanella cornuta",FALSE,150272,FALSE,"",1,TRUE
"164","gonium octonarium","Gonium octonarium",FALSE,958305,FALSE,"",1,TRUE
"165","volvox africanus","Volvox africanus",FALSE,633711,FALSE,"",1,TRUE
"166","volvox barberi","Volvox barberi",FALSE,633710,FALSE,"",1,TRUE
"167","volvox carteri f. kawasakiensis","Volvox carteri f. kawasakiensis",FALSE,841027,FALSE,"infraspecific",1,TRUE
"168","volvox carteri f. nagariensis","Volvox carteri f. nagariensis",FALSE,187583,FALSE,"infraspecific",1,TRUE
"169","volvox carteri f. weismannia","Volvox carteri f. weismannia",FALSE,266342,FALSE,"infraspecific",1,TRUE
"170","volvox dissipatrix","Volvox dissipatrix",FALSE,485480,FALSE,"",1,TRUE
"171","volvox gigas","Volvox gigas",FALSE,633708,FALSE,"",1,TRUE
"172","volvox obversus","Volvox obversus",FALSE,485482,FALSE,"",1,TRUE
"173","zeacarpa leiomorpha","Zeacarpa leiomorpha",FALSE,2821097,FALSE,"",1,TRUE
"174","eudorina cylindrica","Eudorina cylindrica",FALSE,359012,FALSE,"",1,TRUE
"175","eudorina elegans","Eudorina elegans",FALSE,485476,FALSE,"",2,TRUE
"176","eudorina minodii","Eudorina minodii",FALSE,167121,FALSE,"",1,TRUE
"177","eudorina unicocca","Eudorina unicocca",FALSE,958293,FALSE,"",1,TRUE
"178","pandorina colemaniae","Pandorina colemaniae",FALSE,958304,FALSE,"",1,TRUE
"179","pandorina morum","Pandorina morum",FALSE,1072227,FALSE,"",1,TRUE
"180","platydorina caudata","Platydorina caudata",FALSE,60479,FALSE,"",1,TRUE
"181","pleodorina californica","Pleodorina californica",FALSE,485473,FALSE,"",1,TRUE
"182","pleodorina illinoisensis","Pleodorina illinoisensis",FALSE,256089,FALSE,"",1,TRUE
