species_simple_underscores	species_rotl	Fission	GermTimeSimp	Number	Types	TypesControlledForNumber
membranoptera_subtropica	membranoptera subtropica	1	adult	6309574	12	0.766402022581041
mesogloia_linearis	mesogloia linearis	0	adult	10000000000	6	0.2605766891419511
monoclea_forsteri	monoclea forsteri	1	adult	3162278	13	0.8685889575698874
morone_saxatilis	morone saxatilis	0	early	251000000000	122	4.6478459021468455
mus_musculus	mus musculus	0	early	200000000000	102	3.9198229870311034
nais_variabilis	nais variabilis	1	early	251189	13	1.045523633273868
neomenia_carinata	neomenia carinata	0	NA	1000	7	1.0133537911075876
notholca_acuminata	notholca acuminata	0	early	3163	13	1.6130480752610104
oncorhynchus_mykiss	oncorhynchus mykiss	0	early	251000000000	116	4.419263316795361
oscillatoria_sancta	oscillatoria sancta	1	no_germline	100	2	0.43429448190325176
pandorina_colemaniae	pandorina colemaniae	0	no_germline	16	1	0.36067376022224085
pandorina_morum	pandorina morum	0	no_germline	16	1	0.36067376022224085
pedicellina_cernua	pedicellina cernua	1	adult	39811	10	0.9441178054113718
periplaneta_americana	periplaneta americana	0	early	3162277660	50	2.2857604310753104
petermannia_cirrosa	petermannia cirrosa	0	adult	25119000000	39	1.6286039397730105
pinus_monophylla	pinus monophylla	0	adult	10000000000	30	1.3028834457097556
pisione_remota	pisione remota	0	early	44669	11	1.0273619140626127
platydorina_caudata	platydorina caudata	0	no_germline	32	1	0.28853900817779266
pleodorina_californica	pleodorina californica	0	adult	128	2	0.41219858311113244
pleodorina_illinoisensis	pleodorina illinoisensis	0	adult	32	2	0.5770780163555853
pleodorina_indica	pleodorina indica	0	adult	128	2	0.41219858311113244
pleodorina_japonica	pleodorina japonica	0	adult	128	2	0.41219858311113244
pogonatum_neesii	pogonatum neesii	1	adult	707945784	21	1.0305292791199023
polytrichum_commune	polytrichum commune	1	adult	1000000000	26	1.254628503276061
ptilophora_scalaramosa	ptilophora scalaramosa	0	adult	31623000000	12	0.4963364057193592
pycnophyes_frequens	pycnophyes frequens	0	early	7944	16	1.781703026786027
ralfsia_verrucosa	ralfsia verrucosa	1	adult	630957345	8	0.3948131653505404
rastrognathia_macrostoma	rastrognathia macrostoma	0	NA	3163	13	1.6130480752610104
rhabditis_monhystera	rhabditis monhystera	0	early	447	23	3.7689109647060133
rhopalura_granosa	rhopalura granosa	0	NA	1413	3	0.4135951264323895
sagittaria_lancifolia	sagittaria lancifolia	1	adult	100000000000	42	1.6582152945396886
sarconema_scinaioides	sarconema scinaioides	1	adult	2511886432	13	0.6006200281586539
schimmelmannia_dawsonii	schimmelmannia dawsonii	1	adult	251000000000	11	0.4190680731443877
schmitzia_hiscockiana	schmitzia hiscockiana	1	adult	200000000000	14	0.5380149197885828
scytosiphon_lomentaria	scytosiphon lomentaria	1	adult	794328235	4	0.19518853118916665
selenipedium_palmifolium	selenipedium palmifolium	0	adult	12589000000	35	1.504982184155731
sphacelaria_cirrosa	sphacelaria cirrosa	1	adult	1258925412	9	0.4295220150657987
sphaerobolus_stellatus	sphaerobolus stellatus	1	adult	1258926	9	0.640762329034289
spirobranchus_triqueter	spirobranchus triqueter	0	early	70795	12	1.074542475045944
spongilla_lacustris	spongilla lacustris	1	adult	10000	16	1.737177927613007
symphyogyna_brongniartii	symphyogyna brongniartii	0	adult	446684	13	0.9992615696457057
syringoderma_phinneyi	syringoderma phinneyi	0	adult	199527	6	0.49165397528471405
tetrabaena_socialis	tetrabaena socialis	1	no_germline	4	1	0.7213475204444817
thalassoanaperus_sulcatus	thalassoanaperus sulcatus	0	adult	125892542	9	0.4825494241683052
trichoplax_adhaerens	trichoplax adhaerens	1	adult	317	4	0.6945768754286168
turbanella_cornuta	turbanella cornuta	0	early	7080	18	2.0304501678381195
valvognathia_pogonostoma	valvognathia pogonostoma	0	NA	1779	15	2.004327560293842
volvox_africanus	volvox africanus	0	adult	8192	2	0.2219530832136867
volvox_aureus	volvox aureus	0	adult	2048	2	0.2623081892525388
volvox_barberi	volvox barberi	0	adult	32768	2	0.19235933878519512
volvox_carteri_f._kawasakiensis	volvox carteri f. kawasakiensis	0	early	2048	2	0.2623081892525388
volvox_carteri_f._nagariensis	volvox carteri f. nagariensis	0	early	4096	2	0.24044917348149392
volvox_carteri_f._weismannia	volvox carteri f. weismannia	0	early	2048	2	0.2623081892525388
